Player,Age,Team,Pos,G,GS,Att,Yds,TD,Rec,Tgt,Y/R,Touch,YScm,RRTD,Fmb,FP
Davante Adams,32,NYJ,WR,13.5,13.333333333333334,0.25,-0.08333333333333333,0.0,83.66666666666667,12.258333333333331,131.91666666666666,83.91666666666667,1038.3333333333333,9.0,0.5,240.5
Davante Adams,32,NYJ,WR,13.5,13.333333333333334,0.25,-0.08333333333333333,0.0,83.66666666666667,12.258333333333331,131.91666666666666,83.91666666666667,1038.3333333333333,9.0,0.5,240.5
Davante Adams,32,NYJ,WR,13.5,13.333333333333334,0.25,-0.08333333333333333,0.0,83.66666666666667,12.258333333333331,131.91666666666666,83.91666666666667,1038.3333333333333,9.0,0.5,240.5
Jameson Williams,23,DET,WR,13.5,10.5,7.0,45.0,1.0,41.0,16.05,66.5,48.0,722.5,5.5,0.5,145.25
J.K. Dobbins,26,LAC,RB,7.333333333333333,6.666666666666667,98.33333333333333,70.0,0.3333333333333333,13.666666666666666,6.1000000000000005,16.333333333333332,112.0,552.3333333333334,4.333333333333333,0.0,94.9
Jakobi Meyers,28,LVR,WR,15.2,13.8,2.2,10.8,0.4,73.4,11.6,107.6,75.6,857.4,4.4,0.8,183.94000000000003
D.J. Moore,27,CHI,WR,16.333333333333332,16.166666666666668,7.333333333333333,43.166666666666664,0.16666666666666666,83.83333333333333,13.700000000000001,135.0,91.16666666666667,1167.0,5.666666666666667,0.8333333333333334,232.86666666666667
Puka Nacua,23,LAR,WR,11.0,11.0,11.0,46.0,1.0,79.0,12.5,106.0,90.0,1036.0,4.0,0.0,206.60000000000002
Jayden Reed,24,GNB,WR,17.0,10.0,20.0,163.0,1.0,55.0,15.6,75.0,75.0,1020.0,7.0,3.0,193.0
Tyreek Hill,30,MIA,WR,15.625,15.25,11.25,69.0,0.5,92.125,14.35,136.125,103.375,1382.125,10.0,0.875,288.5875
Nico Collins,25,HOU,WR,12.333333333333334,9.666666666666666,0.3333333333333333,2.3333333333333335,0.0,61.666666666666664,14.666666666666666,91.33333333333333,62.0,930.3333333333334,5.666666666666667,0.3333333333333333,188.03333333333336
Rachaad White,25,TAM,RB,16.5,16.0,208.0,471.0,4.5,57.5,8.15,63.5,265.5,1272.5,9.0,3.0,232.75
Mike Evans,31,TAM,WR,15.3,15.2,0.1,1.0,0.0,76.8,15.169999999999998,130.9,76.9,1164.3,9.3,0.4,248.23000000000002
D.K. Metcalf,27,SEA,WR,16.2,15.6,0.2,1.2,0.0,76.0,14.419999999999998,125.2,76.2,1086.0,8.2,1.2,231.4
Darnell Mooney,27,ATL,WR,15.0,14.0,2.25,9.75,0.25,54.0,13.55,92.0,56.25,748.25,3.25,0.0,148.325
Jauan Jennings,27,SFO,WR,14.666666666666666,5.333333333333333,0.0,0.0,0.0,43.666666666666664,12.833333333333334,67.33333333333333,43.666666666666664,552.0,2.6666666666666665,0.6666666666666666,113.53333333333335
Rhamondre Stevenson,26,NWE,RB,14.666666666666666,11.0,191.0,275.6666666666667,0.6666666666666666,46.666666666666664,5.833333333333333,60.0,237.66666666666666,1095.6666666666667,6.0,4.0,184.23333333333335
Brian Robinson Jr.,25,WAS,RB,14.5,14.0,182.5,263.5,2.0,28.0,9.1,34.0,210.5,1029.5,8.5,3.0,175.95
Lamar Jackson,27,BAL,QB,14.5,14.5,144.5,0.0,0.0,0.0,,0.0,144.5,913.0,4.666666666666667,8.5,102.30000000000001
Tee Higgins,25,CIN,WR,13.5,12.0,0.0,0.0,0.0,65.75,14.175,101.0,65.75,921.75,7.0,0.5,198.925
Zach Charbonnet,23,SEA,RB,17.0,6.0,135.0,340.0,1.0,42.0,8.1,52.0,177.0,909.0,9.0,0.0,186.9
Kareem Hunt,29,KAN,RB,12.571428571428571,4.285714285714286,136.85714285714286,230.14285714285714,2.0,28.0,8.200000000000001,36.285714285714285,164.85714285714286,778.2857142857143,7.571428571428571,0.5714285714285714,150.11428571428573
Jordan Addison,22,MIN,WR,15.0,15.0,3.0,20.0,1.0,63.0,13.9,99.0,66.0,895.0,10.0,0.0,212.5
George Pickens,23,PIT,WR,15.5,14.0,2.5,6.0,0.0,61.0,16.700000000000003,104.5,63.5,1026.0,4.0,2.0,183.60000000000002
Jonnu Smith,29,MIA,TE,15.428571428571429,10.142857142857142,2.7142857142857144,18.0,0.14285714285714285,41.285714285714285,11.071428571428571,57.57142857142857,44.0,468.0,3.857142857142857,0.8571428571428571,109.51428571428572
Jordan Mason,25,SFO,RB,14.5,3.0,96.5,61.0,0.0,7.0,9.3,9.0,103.5,558.5,3.0,1.5,77.85
Kenneth Walker III,24,SEA,RB,13.0,13.0,186.0,279.0,1.0,37.5,7.7,45.0,223.5,1018.0,8.5,1.0,188.3
Javonte Williams,24,DEN,RB,12.333333333333334,9.333333333333334,134.33333333333334,216.66666666666666,0.6666666666666666,38.333333333333336,5.466666666666666,50.0,172.66666666666666,713.6666666666666,3.0,1.3333333333333333,125.03333333333332
DeVonta Smith,26,PHI,WR,15.333333333333334,15.333333333333334,0.3333333333333333,0.3333333333333333,0.0,81.33333333333333,12.699999999999998,112.33333333333333,81.66666666666667,1032.0,7.333333333333333,0.6666666666666666,227.2
Khalil Shakir,24,BUF,WR,16.0,9.5,1.5,7.0,0.0,57.5,13.25,72.5,59.0,723.0,3.0,1.0,145.8
Travis Kelce,35,KAN,TE,15.818181818181818,15.272727272727273,0.8181818181818182,1.3636363636363635,0.18181818181818182,91.27272727272727,12.136363636363637,127.27272727272727,92.0909090909091,1106.0,7.181818181818182,1.3636363636363635,242.23636363636365
Alec Pierce,24,IND,WR,16.5,14.5,0.0,0.0,0.0,34.5,19.200000000000003,67.0,34.5,669.0,4.5,0.0,128.4
Jaylen Warren,26,PIT,RB,16.0,0.0,134.5,340.0,0.0,49.5,7.1499999999999995,60.5,184.0,987.5,2.5,3.0,157.25
Tank Bigsby,23,JAX,RB,16.0,1.0,168.0,54.0,0.0,7.0,7.7,12.0,175.0,820.0,7.0,4.0,123.0
Josh Downs,23,IND,WR,14.0,8.0,1.0,12.0,0.0,72.0,11.2,107.0,73.0,815.0,5.0,0.0,183.5
Travis Etienne,25,JAX,RB,16.0,16.0,208.5,365.0,0.5,48.5,7.35,62.5,257.0,1148.0,7.0,0.5,204.3
Michael Pittman Jr.,27,IND,WR,16.25,15.5,2.0,18.5,0.0,91.25,10.975000000000001,134.25,93.25,1010.25,4.25,1.5,214.775
Deebo Samuel,28,SFO,WR,13.2,12.4,37.6,196.8,3.4,55.4,13.86,85.8,93.0,994.8,7.2,2.0,194.07999999999998
Jerome Ford,25,CLE,RB,15.5,9.0,154.0,272.0,2.5,40.5,6.699999999999999,53.0,194.5,961.0,6.0,0.5,171.60000000000002
Ray-Ray McCloud,28,ATL,WR,14.0,3.8333333333333335,3.8333333333333335,44.5,0.16666666666666666,24.5,10.16,35.833333333333336,28.333333333333332,280.8333333333333,0.5,2.6666666666666665,50.24999999999999
Rashod Bateman,25,BAL,WR,13.0,10.333333333333334,0.3333333333333333,6.0,0.0,30.666666666666668,15.766666666666666,52.0,31.0,475.3333333333333,4.0,0.3333333333333333,101.53333333333333
Jaylen Waddle,26,MIA,WR,15.333333333333334,15.333333333333334,3.3333333333333335,16.666666666666668,0.0,68.33333333333333,15.0,101.33333333333333,71.66666666666667,1054.6666666666667,4.666666666666667,0.3333333333333333,201.13333333333335
Keenan Allen,32,CHI,WR,12.636363636363637,12.272727272727273,1.6363636363636365,10.272727272727273,0.0,82.0909090909091,11.190909090909091,120.45454545454545,83.72727272727273,940.0909090909091,5.2727272727272725,1.3636363636363635,205.00909090909093
Antonio Gibson,26,NWE,RB,16.0,6.25,148.0,310.5,1.75,39.75,7.949999999999999,49.5,187.75,907.0,4.75,3.25,152.45
Austin Ekeler,29,WAS,RB,14.142857142857142,10.571428571428571,145.71428571428572,567.2857142857143,3.857142857142857,64.0,9.085714285714287,80.28571428571429,209.71428571428572,1204.7142857142858,9.714285714285714,3.142857142857143,236.4714285714286
Tyler Allgeier,24,ATL,RB,17.0,1.5,161.5,140.5,0.5,15.5,8.75,18.0,177.0,804.0,4.0,0.0,119.9
Sam LaPorta,23,DET,TE,16.0,16.0,0.0,0.0,0.0,60.0,12.1,83.0,60.0,726.0,7.0,0.0,174.60000000000002
Cooper Kupp,31,LAR,WR,12.714285714285714,11.857142857142858,3.7142857142857144,19.857142857142858,0.14285714285714285,81.71428571428571,12.071428571428571,113.85714285714286,85.42857142857143,1006.5714285714286,7.571428571428571,1.0,225.8
Quentin Johnston,23,LAC,WR,15.0,11.0,3.0,6.0,0.0,55.0,12.9,91.0,58.0,717.0,8.0,0.0,174.7
Wan'Dale Robinson,23,NYG,WR,16.0,7.5,6.0,52.5,0.5,76.5,8.15,109.0,82.5,664.5,2.5,0.0,157.95
