Player,Age,Team,Pos,G,GS,Att,Yds,TD,Rec,Tgt,Y/R,Touch,YScm,RRTD,Fmb,FP
Noah Gray,25,KAN,TE,17.0,9.333333333333334,1.0,-0.6666666666666666,0.3333333333333333,32.0,10.833333333333334,41.333333333333336,33.0,346.3333333333333,3.0,0.0,84.63333333333333
Zack Moss,27,CIN,RB,10.166666666666666,3.3333333333333335,89.83333333333333,109.0,0.6666666666666666,15.833333333333334,5.7,20.333333333333332,105.66666666666667,491.1666666666667,2.8333333333333335,1.0,79.95
Sean Tucker,23,TAM,RB,17.0,0.0,50.0,109.0,1.0,9.0,12.1,12.0,59.0,417.0,3.0,1.0,66.7
Dontayvion Wicks,23,GNB,WR,17.0,5.0,0.0,0.0,0.0,39.0,10.6,76.0,39.0,415.0,5.0,0.0,110.5
Marquez Valdes-Scantling,30,NOR,WR,13.0,8.25,1.125,3.375,0.0,23.25,17.924999999999997,48.125,24.375,427.875,2.75,0.25,82.0375
Marquez Valdes-Scantling,30,NOR,WR,13.0,8.25,1.125,3.375,0.0,23.25,17.924999999999997,48.125,24.375,427.875,2.75,0.25,82.0375
Marquez Valdes-Scantling,30,NOR,WR,13.0,8.25,1.125,3.375,0.0,23.25,17.924999999999997,48.125,24.375,427.875,2.75,0.25,82.0375
Samaje Perine,29,KAN,RB,11.222222222222221,0.4444444444444444,33.77777777777778,147.88888888888889,0.6666666666666666,17.444444444444443,7.2,21.0,51.22222222222222,296.22222222222223,1.5555555555555556,0.3333333333333333,55.733333333333334
Foster Moreau,27,NOR,TE,16.0,10.8,0.0,0.4,0.0,24.6,13.440000000000001,35.0,24.6,308.2,2.6,0.4,70.22000000000001
Brenton Strange,24,JAX,TE,17.0,10.0,0.0,0.0,0.0,40.0,10.3,53.0,40.0,411.0,2.0,1.0,91.1
Jalen Nailor,25,MIN,WR,11.5,4.0,1.5,-2.0,0.0,15.5,12.25,24.0,17.0,219.5,3.0,0.5,54.45
Chris Olave,24,NOR,WR,12.0,9.5,0.5,3.5,0.0,59.5,12.7,91.0,60.0,765.0,3.0,0.5,153.0
Kenneth Gainwell,25,PHI,RB,16.666666666666668,1.0,70.66666666666667,156.0,0.0,23.0,6.8999999999999995,29.333333333333332,93.66666666666667,454.0,2.3333333333333335,1.0,80.4
Sterling Shepard,31,TAM,WR,11.0,7.875,3.625,28.0,0.125,42.375,10.4625,64.25,46.0,496.25,2.125,0.375,104.0
Tim Patrick,31,DET,WR,13.75,10.5,0.0,0.0,0.0,38.25,13.450000000000001,59.75,38.25,522.0,3.5,0.0,111.45
Tyler Boyd,30,TEN,WR,15.0,10.375,2.0,13.875,0.0,62.25,11.425,91.125,64.25,737.25,3.75,0.5,157.47500000000002
Jordan Akins,32,CLE,TE,15.166666666666666,5.0,0.3333333333333333,1.1666666666666667,0.0,31.5,10.566666666666665,45.333333333333336,31.833333333333332,343.1666666666667,1.6666666666666667,0.6666666666666666,74.48333333333333
Parker Washington,22,JAX,WR,17.0,7.0,0.0,0.0,0.0,32.0,12.2,51.0,32.0,390.0,3.0,2.0,85.0
Isiah Pacheco,25,KAN,RB,10.5,9.5,144.0,161.5,1.0,28.0,6.05,32.5,172.0,784.0,5.0,0.5,135.4
Diontae Johnson,28,HOU,WR,10.625,8.875,2.375,13.125,0.0,49.75,10.1375,85.125,52.125,567.25,3.25,0.75,124.475
Diontae Johnson,28,HOU,WR,10.625,8.875,2.375,13.125,0.0,49.75,10.1375,85.125,52.125,567.25,3.25,0.75,124.475
Diontae Johnson,28,HOU,WR,10.625,8.875,2.375,13.125,0.0,49.75,10.1375,85.125,52.125,567.25,3.25,0.75,124.475
Diontae Johnson,28,HOU,WR,10.625,8.875,2.375,13.125,0.0,49.75,10.1375,85.125,52.125,567.25,3.25,0.75,124.475
Christian Kirk,28,JAX,WR,13.5,11.666666666666666,3.1666666666666665,20.666666666666668,0.0,60.166666666666664,12.85,92.5,63.333333333333336,785.0,4.333333333333333,0.6666666666666666,163.33333333333331
Mack Hollins,31,BUF,WR,14.0,5.375,0.5,5.0,0.0,19.5,12.871428571428572,34.125,20.0,251.0,1.75,0.125,54.85
Baker Mayfield,29,TAM,QB,13.0,12.5,37.875,2.125,0.0,0.125,6.0,0.125,38.0,147.0,1.375,7.375,8.325000000000003
Rashid Shaheed,26,NOR,WR,10.5,6.5,6.5,33.0,0.0,33.0,16.55,58.0,39.5,567.0,4.0,1.0,111.7
Brandon Aiyuk,26,SFO,WR,14.25,14.0,1.75,10.0,0.0,58.5,15.175,87.5,60.25,899.25,5.0,1.0,176.425
Greg Dortch,26,ARI,WR,13.5,3.5,3.5,26.0,0.0,29.0,8.725,39.5,32.5,302.0,1.75,1.0,67.7
Gus Edwards,29,LAC,RB,13.8,5.2,132.6,72.0,0.0,6.2,9.425,8.0,138.8,680.4,5.6,1.4,105.04
Evan Engram,30,JAX,TE,13.285714285714286,11.142857142857142,2.142857142857143,11.285714285714286,0.14285714285714285,61.714285714285715,9.914285714285713,88.42857142857143,63.857142857142854,611.2857142857143,2.857142857142857,0.8571428571428571,138.27142857142857
Nick Chubb,29,CLE,RB,11.5,11.5,191.33333333333334,148.83333333333334,0.5,18.0,7.7,24.0,209.33333333333334,1123.3333333333333,7.666666666666667,1.3333333333333333,173.66666666666666
Miles Sanders,27,CAR,RB,13.6,9.0,148.8,147.0,0.2,25.0,5.779999999999999,36.6,173.8,852.4,4.2,2.0,131.44
David Moore,29,CAR,WR,9.5,2.375,1.625,11.375,0.0,14.375,15.3,25.25,16.0,212.375,2.125,0.625,47.1125
Christian McCaffrey,28,SFO,RB,10.666666666666666,10.444444444444445,163.77777777777777,506.22222222222223,3.2222222222222223,58.77777777777778,8.777777777777779,71.55555555555556,222.55555555555554,1294.111111111111,9.666666666666666,1.3333333333333333,243.52222222222224
Dyami Brown,25,WAS,WR,16.0,1.3333333333333333,1.6666666666666667,13.666666666666666,0.0,15.666666666666666,17.633333333333336,25.666666666666668,17.333333333333332,220.0,1.3333333333333333,0.3333333333333333,45.0
Cedric Tillman,24,CLE,WR,11.0,6.0,1.0,-5.0,0.0,29.0,11.7,49.0,30.0,334.0,3.0,1.0,78.4
Emari Demercado,25,ARI,RB,13.0,0.0,24.0,104.0,0.0,16.0,6.5,20.0,40.0,327.0,1.0,0.0,54.7
Brock Purdy,25,SFO,QB,15.5,15.5,52.5,0.0,0.0,0.0,,0.0,52.5,233.5,3.5,6.5,31.35
Kendrick Bourne,29,NWE,WR,14.285714285714286,4.857142857142857,2.857142857142857,24.857142857142858,0.0,39.42857142857143,12.271428571428572,56.42857142857143,42.285714285714285,518.7142857142857,3.142857142857143,0.7142857142857143,108.72857142857143
Dawson Knox,28,BUF,TE,14.0,12.0,0.0,0.8,0.0,33.0,11.48,49.8,33.0,378.6,4.2,0.4,95.26000000000002
Dare Ogunbowale,30,HOU,RB,13.571428571428571,1.2857142857142858,23.714285714285715,110.57142857142857,0.2857142857142857,14.142857142857142,7.833333333333332,21.142857142857142,37.857142857142854,191.85714285714286,0.8571428571428571,0.2857142857142857,37.900000000000006
Patrick Mahomes,29,KAN,QB,15.857142857142858,15.857142857142858,60.714285714285715,1.1428571428571428,0.0,0.2857142857142857,4.0,0.5714285714285714,61.0,320.14285714285717,2.0,5.428571428571429,33.44285714285715
Justin Herbert,26,LAC,QB,16.0,16.0,59.5,0.0,0.0,0.75,2.5,0.75,60.25,245.75,2.0,4.75,27.825000000000003
Grant Calcaterra,26,PHI,TE,16.0,7.0,0.0,0.0,0.0,14.0,11.100000000000001,17.0,14.0,168.5,0.5,0.0,33.85
Mike Williams,30,PIT,WR,12.666666666666666,7.888888888888889,1.1111111111111112,3.7777777777777777,0.1111111111111111,37.77777777777778,15.188888888888888,61.888888888888886,38.888888888888886,593.4444444444445,3.7777777777777777,0.0,119.78888888888889
Mike Williams,30,PIT,WR,12.666666666666666,7.888888888888889,1.1111111111111112,3.7777777777777777,0.1111111111111111,37.77777777777778,15.188888888888888,61.888888888888886,38.888888888888886,593.4444444444445,3.7777777777777777,0.0,119.78888888888889
Mike Williams,30,PIT,WR,12.666666666666666,7.888888888888889,1.1111111111111112,3.7777777777777777,0.1111111111111111,37.77777777777778,15.188888888888888,61.888888888888886,38.888888888888886,593.4444444444445,3.7777777777777777,0.0,119.78888888888889
Ezekiel Elliott,29,DAL,RB,15.0,11.75,227.125,294.375,1.625,42.0,6.925,55.375,269.125,1231.75,9.0,2.5,214.175
Dameon Pierce,24,HOU,RB,12.5,3.5,92.5,51.5,0.0,7.5,4.4,10.5,100.0,406.0,2.0,0.5,59.1
Colby Parkinson,25,LAR,TE,16.25,3.25,0.0,0.0,0.0,21.25,9.8,31.25,21.25,224.0,1.25,0.0,51.150000000000006
Lil'Jordan Humphrey,26,DEN,WR,10.6,4.4,0.0,0.0,0.0,12.4,13.3,18.2,12.4,154.0,1.4,0.4,35.400000000000006
Tyler Johnson,26,LAR,WR,8.75,1.25,0.0,0.0,0.0,16.0,8.4,24.75,16.0,164.75,0.5,0.0,35.475
Justin Fields,25,PIT,QB,12.666666666666666,11.333333333333334,115.33333333333333,0.0,0.0,0.0,,0.0,115.33333333333333,696.3333333333334,5.666666666666667,10.666666666666666,82.30000000000001
Rashee Rice,24,KAN,WR,4.0,4.0,1.0,1.0,0.0,24.0,12.0,29.0,25.0,289.0,2.0,0.0,64.9
Justin Watson,28,KAN,WR,13.0,4.0,0.0,0.0,0.0,14.333333333333334,15.02,26.0,14.333333333333334,219.5,1.5,0.16666666666666666,44.95
Jeremy McNichols,29,WAS,RB,8.666666666666666,0.16666666666666666,24.166666666666668,53.666666666666664,0.16666666666666666,8.166666666666666,5.3999999999999995,11.166666666666666,32.333333333333336,157.83333333333334,1.0,0.0,29.950000000000003
D'Onta Foreman,28,CLE,RB,8.833333333333334,3.8333333333333335,90.83333333333333,52.166666666666664,0.5,5.666666666666667,8.983333333333334,7.833333333333333,96.5,424.0,2.5,1.1666666666666667,60.733333333333334
Van Jefferson,28,PIT,WR,13.166666666666666,9.333333333333334,0.6666666666666666,4.666666666666667,0.0,23.0,12.549999999999999,43.166666666666664,23.666666666666668,315.5,1.8333333333333333,0.0,65.55
Geno Smith,34,SEA,QB,7.8,6.7,24.4,-0.2,0.0,0.1,-2.0,0.2,24.5,112.6,0.6,3.6,7.759999999999999
Curtis Samuel,28,BUF,WR,13.714285714285714,8.0,17.428571428571427,95.0,1.0,47.57142857142857,9.757142857142856,72.14285714285714,65.0,598.0,4.285714285714286,0.42857142857142855,132.22857142857143
Daniel Jones,27,NYG,QB,11.4,11.4,70.8,3.2,0.0,0.2,16.0,0.2,71.0,383.2,2.6,6.2,41.720000000000006
Josh Oliver,27,MIN,TE,15.75,9.0,0.0,0.0,0.0,16.75,9.825,24.0,16.75,171.5,1.75,0.5,43.400000000000006
Trey Sermon,25,IND,RB,11.0,1.0,31.0,37.333333333333336,0.0,6.333333333333333,5.25,8.333333333333334,37.333333333333336,150.0,0.6666666666666666,0.0,25.333333333333332
Brandin Cooks,31,DAL,WR,14.8,13.7,5.1,26.8,0.1,65.7,13.430000000000001,103.0,70.8,925.0,5.8,0.4,192.2
Roschon Johnson,23,CHI,RB,14.0,0.0,55.0,104.0,0.0,16.0,6.5,20.0,71.0,254.0,6.0,0.0,77.4
John Metchie,24,HOU,WR,13.0,3.0,0.0,0.0,0.0,24.0,10.6,37.0,24.0,254.0,1.0,1.0,53.400000000000006
Chris Brooks,24,GNB,RB,15.0,0.0,36.0,69.0,0.0,11.0,6.3,13.0,47.0,252.0,1.0,0.0,42.2
Bryce Young,23,CAR,QB,14.0,12.0,43.0,0.0,0.0,0.0,,0.0,43.0,249.0,6.0,5.0,50.900000000000006
Josh Whyle,25,TEN,TE,17.0,4.0,0.0,0.0,0.0,28.0,8.9,37.0,28.0,248.0,1.0,0.0,58.8
Luke Schoonmaker,26,DAL,TE,17.0,6.0,0.0,0.0,0.0,27.0,8.9,36.0,27.0,241.0,1.0,0.0,57.1
Gabriel Davis,25,JAX,WR,14.5,11.25,0.25,-0.5,0.0,37.0,15.424999999999999,69.75,37.25,592.0,5.5,0.75,127.69999999999999
D'Ernest Johnson,28,JAX,RB,15.8,0.6,42.0,78.8,0.0,9.4,7.24,12.6,51.4,272.4,0.6,0.4,39.440000000000005
Tommy Tremble,24,CAR,TE,15.0,7.666666666666667,0.0,0.0,0.0,21.666666666666668,9.266666666666667,32.0,21.666666666666668,200.66666666666666,2.6666666666666665,0.6666666666666666,56.4
C.J. Stroud,23,HOU,QB,17.0,17.0,52.0,0.0,0.0,0.0,,1.0,52.0,233.0,0.0,6.0,11.3
Nelson Agholor,31,BAL,WR,15.11111111111111,10.333333333333334,1.5555555555555556,7.888888888888889,0.0,40.666666666666664,12.655555555555557,67.0,42.22222222222222,516.2222222222222,4.0,0.7777777777777778,114.73333333333333
JuJu Smith-Schuster,28,KAN,WR,12.857142857142858,10.428571428571429,0.5714285714285714,3.142857142857143,0.14285714285714285,55.714285714285715,10.985714285714284,80.85714285714286,56.285714285714285,626.2857142857143,3.7142857142857144,1.1428571428571428,138.34285714285716
Jahan Dotson,24,PHI,WR,17.0,11.0,0.5,6.5,0.0,34.0,11.0,58.0,34.5,373.5,2.0,0.0,83.35
Kyle Juszczyk,33,SFO,FB,15.727272727272727,12.909090909090908,6.090909090909091,21.545454545454547,0.5454545454545454,25.545454545454547,9.718181818181817,34.27272727272727,31.636363636363637,263.72727272727275,2.1818181818181817,0.7272727272727273,63.55454545454546
Ty Chandler,26,MIN,RB,17.0,2.0,79.0,100.5,0.0,13.5,7.3,15.5,92.5,422.0,1.5,0.0,64.7
Jamaal Williams,29,NOR,RB,14.428571428571429,5.428571428571429,130.85714285714286,149.71428571428572,0.8571428571428571,23.142857142857142,6.242857142857142,28.0,154.0,659.1428571428571,4.857142857142857,0.7142857142857143,116.77142857142856
Cordarrelle Patterson,33,PIT,RB,15.181818181818182,5.0,48.54545454545455,218.72727272727272,1.1818181818181819,24.09090909090909,8.00909090909091,34.27272727272727,72.63636363636364,444.90909090909093,2.909090909090909,1.1818181818181819,83.67272727272729
Kalif Raymond,30,DET,WR,11.222222222222221,3.3333333333333335,2.6666666666666665,14.333333333333334,0.0,18.555555555555557,14.425,25.555555555555557,21.22222222222222,267.3333333333333,0.8888888888888888,1.6666666666666667,47.28888888888889
Tyler Goodson,24,IND,RB,16.0,0.0,32.0,61.0,1.0,11.0,5.5,15.0,43.0,214.0,2.0,0.0,44.400000000000006
Zamir White,25,LVR,RB,12.5,4.5,84.5,64.0,0.0,10.5,5.75,13.5,95.0,381.0,1.0,1.5,51.6
Sam Darnold,27,MIN,QB,11.666666666666666,10.0,38.666666666666664,0.0,0.0,0.0,,0.0,38.666666666666664,139.0,2.1666666666666665,6.833333333333333,13.233333333333333
Pierre Strong,26,CLE,RB,15.5,0.5,44.5,75.5,0.0,9.5,8.4,15.0,54.0,275.0,0.5,0.5,39.0
Cedrick Wilson Jr.,29,NOR,WR,15.4,2.2,1.2,1.4,0.0,23.2,11.98,34.4,24.4,288.2,2.4,0.8,64.82
Stone Smartt,26,LAC,TE,15.5,2.5,0.0,0.0,0.0,13.5,13.55,20.0,13.5,181.5,0.5,0.5,33.650000000000006
Patrick Taylor,26,SFO,RB,12.666666666666666,0.3333333333333333,27.0,30.333333333333332,0.0,5.0,9.933333333333334,9.666666666666666,32.0,148.66666666666666,0.3333333333333333,0.0,21.866666666666667
Robert Woods,32,HOU,WR,14.272727272727273,11.909090909090908,6.636363636363637,45.27272727272727,0.45454545454545453,58.45454545454545,11.70909090909091,91.63636363636364,65.0909090909091,740.3636363636364,3.6363636363636362,0.9090909090909091,152.4909090909091
Joe Burrow,28,CIN,QB,14.75,14.75,47.0,0.0,0.0,0.0,,0.0,47.0,166.0,2.25,6.0,18.1
Darnell Washington,23,PIT,TE,17.0,9.0,0.0,0.0,0.0,19.0,10.5,25.0,19.0,200.0,1.0,0.0,45.0
Kenny McIntosh,24,SEA,RB,17.0,0.0,31.0,22.0,0.0,3.0,7.3,4.0,34.0,194.0,0.0,0.0,22.400000000000002
Josh Reynolds,29,JAX,WR,11.0,5.545454545454546,0.7272727272727273,3.272727272727273,0.0,24.0,13.554545454545456,40.54545454545455,24.727272727272727,331.72727272727275,2.0,0.2727272727272727,68.62727272727274
Josh Reynolds,29,JAX,WR,11.0,5.545454545454546,0.7272727272727273,3.272727272727273,0.0,24.0,13.554545454545456,40.54545454545455,24.727272727272727,331.72727272727275,2.0,0.2727272727272727,68.62727272727274
Josh Reynolds,29,JAX,WR,11.0,5.545454545454546,0.7272727272727273,3.272727272727273,0.0,24.0,13.554545454545456,40.54545454545455,24.727272727272727,331.72727272727275,2.0,0.2727272727272727,68.62727272727274
Tylan Wallace,25,BAL,WR,12.333333333333334,0.0,0.0,0.0,0.0,5.333333333333333,12.266666666666666,7.0,5.333333333333333,79.0,0.3333333333333333,0.3333333333333333,14.566666666666668
DJ Turner,27,LVR,WR,11.0,3.0,2.5,16.5,0.5,8.0,9.9,14.5,10.5,95.5,1.0,0.5,22.55
Michael Carter,25,ARI,RB,9.8,2.2,41.8,109.4,0.4,20.0,4.92,25.4,61.8,290.8,1.2,0.4,55.480000000000004
Adam Trautman,27,DEN,TE,15.5,12.0,0.0,0.0,0.0,20.0,11.25,30.5,20.0,215.5,2.0,0.25,53.05
Chris Rodriguez,24,WAS,RB,9.0,0.0,35.0,12.0,0.0,1.0,12.0,1.0,36.0,185.0,2.0,0.0,31.5
Will Levis,25,TEN,QB,12.0,12.0,45.0,0.0,0.0,0.0,,0.0,45.0,183.0,0.0,10.0,-1.6999999999999993
Kylen Granson,26,IND,TE,15.0,5.666666666666667,0.6666666666666666,0.6666666666666666,0.0,25.0,11.666666666666666,40.333333333333336,25.666666666666668,284.6666666666667,0.3333333333333333,0.3333333333333333,54.800000000000004
Kendre Miller,22,NOR,RB,6.0,2.0,39.0,33.0,0.0,5.0,6.6,8.0,44.0,181.0,1.0,0.0,29.1
Craig Reynolds,28,DET,RB,10.0,0.4,30.2,51.6,0.0,5.0,9.2,5.8,35.2,182.4,0.2,0.6,23.240000000000002
Jalen Brooks,24,DAL,WR,14.0,1.0,0.0,0.0,0.0,12.0,14.8,30.0,12.0,177.0,1.0,0.0,35.7
Elijah Higgins,24,ARI,TE,17.0,6.0,0.0,0.0,0.0,20.0,8.6,24.0,20.0,172.0,2.0,0.0,49.2
Trey Palmer,23,TAM,WR,15.0,3.0,0.0,0.0,0.0,12.0,14.3,22.0,12.0,172.0,1.0,1.0,33.2
Jonathan Mingo,23,DAL,WR,11.333333333333334,4.0,1.3333333333333333,3.3333333333333335,0.0,11.333333333333334,9.7,28.0,12.666666666666666,114.66666666666667,0.0,0.6666666666666666,21.466666666666672
Jonathan Mingo,23,DAL,WR,11.333333333333334,4.0,1.3333333333333333,3.3333333333333335,0.0,11.333333333333334,9.7,28.0,12.666666666666666,114.66666666666667,0.0,0.6666666666666666,21.466666666666672
Jonathan Mingo,23,DAL,WR,11.333333333333334,4.0,1.3333333333333333,3.3333333333333335,0.0,11.333333333333334,9.7,28.0,12.666666666666666,114.66666666666667,0.0,0.6666666666666666,21.466666666666672
Michael Mayer,23,LVR,TE,11.0,8.0,0.0,0.0,0.0,21.0,7.4,32.0,21.0,156.0,0.0,0.0,36.6
Tanner Hudson,30,CIN,TE,9.4,0.2,0.2,0.2,0.0,14.2,11.0,19.0,14.4,136.0,0.4,0.2,29.800000000000004
Russell Wilson,36,PIT,QB,15.25,15.25,77.5,1.75,0.08333333333333333,0.4166666666666667,3.5,0.4166666666666667,77.91666666666667,416.1666666666667,2.3333333333333335,8.5,39.03333333333334
Khalil Herbert,26,CIN,RB,10.6,2.4,66.6,48.2,0.4,9.8,4.0200000000000005,13.0,76.4,368.6,2.0,0.6,57.46000000000001
Khalil Herbert,26,CIN,RB,10.6,2.4,66.6,48.2,0.4,9.8,4.0200000000000005,13.0,76.4,368.6,2.0,0.6,57.46000000000001
Khalil Herbert,26,CIN,RB,10.6,2.4,66.6,48.2,0.4,9.8,4.0200000000000005,13.0,76.4,368.6,2.0,0.6,57.46000000000001
Mecole Hardman,26,KAN,WR,10.714285714285714,3.5714285714285716,3.2857142857142856,25.142857142857142,0.42857142857142855,23.857142857142858,9.642857142857142,34.42857142857143,27.142857142857142,294.85714285714283,1.8571428571428572,1.1428571428571428,62.199999999999996
Lucas Krull,26,DEN,TE,10.0,2.0,0.0,0.0,0.0,13.5,9.95,18.5,13.5,123.5,0.5,0.0,28.85
Derius Davis,24,LAC,WR,15.0,2.0,12.0,39.0,0.0,13.0,8.6,17.0,25.0,151.0,2.0,3.0,34.1
Hunter Luepke,24,DAL,RB,16.0,4.0,12.0,111.0,0.0,12.0,9.3,16.0,24.0,149.0,0.0,0.0,26.9
Deshaun Watson,29,CLE,QB,11.0,11.0,60.666666666666664,1.0,0.16666666666666666,0.16666666666666666,6.0,0.16666666666666666,60.833333333333336,313.1666666666667,3.1666666666666665,6.333333333333333,37.81666666666667
Mo Alie-Cox,31,IND,TE,16.5,7.666666666666667,0.0,0.0,0.0,17.833333333333332,12.016666666666666,27.833333333333332,17.833333333333332,216.66666666666666,2.1666666666666665,0.5,51.5
Bo Melton,25,GNB,WR,17.0,0.0,8.0,54.0,0.0,8.0,11.4,17.0,16.0,145.0,0.0,0.0,22.5
Johnny Mundt,30,MIN,TE,13.714285714285714,2.5714285714285716,0.0,0.0,0.0,9.285714285714286,8.4,12.0,9.285714285714286,78.14285714285714,0.5714285714285714,0.0,20.52857142857143
Jordan Mims,25,NOR,RB,11.0,0.0,20.0,71.0,0.0,12.0,5.9,18.0,32.0,141.0,0.0,0.0,26.1
Hassan Haskins,25,LAC,RB,17.0,0.0,34.0,49.0,1.0,3.0,16.3,3.0,37.0,138.0,3.0,1.0,32.8
Malik Willis,25,GNB,QB,5.0,1.0,12.5,0.0,0.0,0.0,,0.0,12.5,79.5,0.5,1.0,8.95
Tyler Huntley,26,MIA,QB,5.75,3.5,32.75,0.0,0.0,0.0,,0.0,32.75,155.25,1.25,3.25,16.525
Nick Vannett,31,TEN,TE,10.583333333333334,5.083333333333333,0.0,0.0,0.0,10.666666666666666,8.950000000000001,14.75,10.666666666666666,100.08333333333333,0.75,0.08333333333333333,25.00833333333333
Charlie Kolar,25,BAL,TE,14.0,3.0,0.5,1.0,0.0,8.0,13.5,10.0,8.5,110.0,1.0,0.0,25.0
Drew Lock,28,NYG,QB,7.75,5.75,19.25,0.25,0.0,0.25,1.0,0.25,19.5,90.25,1.75,3.75,12.274999999999999
Ronnie Rivers,25,LAR,RB,13.0,0.5,27.0,28.0,0.0,5.0,5.6,5.5,32.0,142.0,0.0,0.0,19.200000000000003
KhaDarel Hodge,29,ATL,WR,15.333333333333334,1.5,0.16666666666666666,0.0,0.0,10.333333333333334,16.383333333333333,18.166666666666668,10.5,163.0,0.3333333333333333,0.16666666666666666,28.3
Jamycal Hasty,28,NWE,RB,8.833333333333334,0.0,13.666666666666666,57.0,0.3333333333333333,8.833333333333334,6.333333333333333,11.833333333333334,22.5,112.16666666666667,0.8333333333333334,0.3333333333333333,24.383333333333336
Ryan Miller,24,TAM,WR,11.0,3.0,0.0,0.0,0.0,12.0,10.7,20.0,12.0,128.0,2.0,0.0,36.8
Daniel Bellinger,24,NYG,TE,17.0,10.5,0.0,0.0,0.0,19.5,9.55,22.5,19.5,190.0,0.0,0.0,38.5
Rakim Jarrett,23,TAM,WR,10.0,2.0,0.0,0.0,0.0,9.0,13.8,11.0,9.0,124.0,0.0,0.0,21.4
Dorian Thompson-Robinson,25,CLE,QB,7.0,2.0,21.0,0.0,0.0,0.0,,0.0,21.0,122.0,0.0,3.0,6.200000000000001
Dante Pettis,29,NOR,WR,7.571428571428571,1.8571428571428572,0.2857142857142857,5.285714285714286,0.0,8.571428571428571,13.25,17.285714285714285,8.857142857142858,107.14285714285714,1.2857142857142858,0.5714285714285714,25.857142857142858
Xavier Hutchinson,24,HOU,WR,16.0,3.0,0.0,0.0,0.0,12.0,9.8,26.0,12.0,117.0,0.0,0.0,23.700000000000003
Nate Adkins,25,DEN,TE,17.0,10.0,0.0,0.0,0.0,14.0,8.2,15.0,14.0,115.0,3.0,0.0,43.5
Payne Durham,24,TAM,TE,16.0,6.0,0.0,0.0,0.0,11.0,10.5,14.0,11.0,115.0,2.0,1.0,32.5
Trevor Lawrence,25,JAX,QB,14.333333333333334,14.333333333333334,52.666666666666664,-1.6666666666666667,0.0,0.0,,0.0,52.666666666666664,248.0,4.0,9.0,30.799999999999997
Julius Chestnut,24,TEN,RB,10.0,0.0,11.0,5.5,0.0,1.0,5.5,1.5,12.0,56.5,0.0,0.0,6.65
Eric Gray,25,NYG,RB,17.0,0.0,14.0,82.0,0.0,10.0,8.2,11.0,24.0,113.0,0.0,3.0,15.3
Alec Ingold,28,MIA,FB,14.8,8.8,4.6,6.0,0.4,12.2,8.52,16.0,16.8,109.0,1.0,0.4,28.3
Ashton Dulin,27,IND,WR,14.25,1.25,3.0,24.0,0.0,8.25,19.575,14.5,11.25,149.0,1.0,0.25,28.65
Andrew Ogletree,26,IND,TE,17.0,6.0,0.0,0.0,0.0,9.0,12.1,14.0,9.0,109.0,1.0,0.0,25.9
Jake Bobo,26,SEA,WR,17.0,3.0,0.0,0.0,0.0,13.0,8.2,17.0,13.0,107.0,1.0,0.0,29.700000000000003
Aaron Rodgers,41,NYJ,QB,13.555555555555555,13.333333333333334,41.05555555555556,-0.6111111111111112,0.0,0.16666666666666666,-3.6666666666666665,0.16666666666666666,41.22222222222222,197.5,1.9444444444444444,5.277777777777778,21.02777777777778
Simi Fehoko,27,LAC,WR,6.333333333333333,0.6666666666666666,0.0,0.0,0.0,3.3333333333333335,11.566666666666668,7.333333333333333,3.3333333333333335,46.333333333333336,0.3333333333333333,0.0,9.966666666666667
Mason Rudolph,29,TEN,QB,4.75,2.5,11.75,0.0,0.0,0.0,,0.0,11.75,40.25,0.25,2.25,1.0250000000000004
Jeremy Ruckert,24,NYJ,TE,16.0,7.5,0.0,0.0,0.0,17.0,7.6,25.0,17.0,128.0,0.0,0.0,29.8
Drew Sample,28,CIN,TE,13.8,9.6,0.2,-0.8,0.0,19.0,5.6,23.8,19.2,139.2,0.8,0.4,36.92
Julian Hill,24,MIA,TE,16.0,11.0,0.0,0.0,0.0,12.0,8.3,19.0,12.0,100.0,0.0,1.0,20.0
Brock Wright,26,DET,TE,16.0,7.333333333333333,0.0,0.0,0.0,14.666666666666666,8.9,18.0,14.666666666666666,135.66666666666666,2.3333333333333335,0.0,42.233333333333334
Malik Heath,24,GNB,WR,13.0,1.0,0.0,0.0,0.0,10.0,9.7,13.0,10.0,97.0,2.0,0.0,31.700000000000003
Jalen Reagor,25,LAC,WR,13.25,4.0,4.5,17.75,0.0,13.75,14.024999999999999,26.25,18.25,178.0,0.75,1.75,32.55
Eric Saubert,30,SFO,TE,10.777777777777779,2.2222222222222223,0.0,0.0,0.0,5.555555555555555,7.25,8.0,5.555555555555555,44.55555555555556,0.3333333333333333,0.1111111111111111,11.78888888888889
Mac Jones,26,JAX,QB,11.666666666666666,10.666666666666666,33.666666666666664,0.0,0.0,0.0,,0.0,33.666666666666664,96.66666666666667,0.6666666666666666,3.3333333333333335,7.000000000000001
Marcus Mariota,31,WAS,QB,9.0,6.888888888888889,37.888888888888886,2.3333333333333335,0.0,0.1111111111111111,21.0,0.2222222222222222,38.0,213.88888888888889,1.7777777777777777,3.7777777777777777,24.611111111111107
Marquise Brown,27,KAN,WR,12.0,11.0,1.0,6.0,0.0,55.2,11.28,93.8,56.2,636.2,4.2,0.8,142.42000000000002
Deuce Vaughn,23,DAL,RB,7.0,0.0,17.0,18.0,0.0,3.0,6.0,5.0,20.0,88.0,0.0,0.0,11.8
